"Date","Timezone","Ticker","ShortName","RedCode","Tier","Ccy","DocClause","Spread6m","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","Spread7y","Spread10y","Spread15y","Spread20y","Spread30y","Recovery","DataRating","Sector","Region","Country","AvRating","ImpliedRating"
"06-MAR-19","E","KONIAHO","Koninklijke Ahold Delhaize NV","NN07BI","SUBLT2","EUR","CR14","0.083637%","0.10808300000000001%","0.204963%","0.316593%","0.5061%","0.681613%","1.058387%","1.34397%","1.430308%","1.46263%","1.512591%","10%","","Consumer Services","Europe","Netherlands","BBB","BBB"
"06-MAR-19","E","KONIAHO","Koninklijke Ahold Delhaize NV","NN07BI","SUBLT2","EUR","MM14","0.079744%","0.10302099999999999%","0.19534700000000002%","0.30177%","0.48247799999999996%","0.649848%","1.009258%","1.281772%","1.364042%","1.394632%","1.441885%","10%","","Consumer Services","Europe","Netherlands","BBB","BBB"
"06-MAR-19","E","KONIMIN","KONICA MINOLTA INC","JM966L","SNRFOR","JPY","CR14","0.237154%","0.28143%","0.348773%","0.439102%","0.531947%","0.593986%","0.643847%","0.627938%","0.6266660000000001%","0.6221939999999999%","0.6144700000000001%","35%","","Technology","Asia","Japan","","BB"
"06-MAR-19","E","KONIMIN","KONICA MINOLTA INC","JM966L","SNRFOR","JPY","XR14","0.237154%","0.28143%","0.348773%","0.439102%","0.531947%","0.593986%","0.643847%","0.627938%","0.6266660000000001%","0.6221939999999999%","0.6144700000000001%","35%","","Technology","Asia","Japan","","BB"
"06-MAR-19","E","KONIMIN","KONICA MINOLTA INC","JM966L","SNRFOR","USD","CR14","0.25462%","0.311582%","0.398629%","0.506187%","0.614261%","0.6887479999999999%","0.7588010000000001%","0.768593%","0.801261%","0.8249380000000001%","0.867721%","35%","","Technology","Asia","Japan","","BB"
"06-MAR-19","E","KONIPHI","Koninklijke Philips NV","NTFGGO","SNRFOR","CHF","MM14","0.049002%","0.061949%","0.092512%","0.139188%","0.226875%","0.310692%","0.511842%","0.6374460000000001%","0.690756%","0.7222000000000001%","0.7555959999999999%","40%","","Consumer Goods","Europe","Netherlands","BBB","A"
"06-MAR-19","E","KONIPHI","Koninklijke Philips NV","NTFGGO","SNRFOR","EUR","CR14","0.051391%","0.064997%","0.097089%","0.146071%","0.23804799999999998%","0.325973%","0.536956%","0.668786%","0.724907%","0.758105%","0.793609%","40%","","Consumer Goods","Europe","Netherlands","BBB","A"
"06-MAR-19","E","KONIPHI","Koninklijke Philips NV","NTFGGO","SNRFOR","EUR","MM14","0.049002%","0.061949%","0.092512%","0.139188%","0.226875%","0.310692%","0.511842%","0.6374460000000001%","0.690756%","0.7222000000000001%","0.7555959999999999%","40%","","Consumer Goods","Europe","Netherlands","BBB","A"
"06-MAR-19","E","KONIPHI","Koninklijke Philips NV","NTFGGO","SNRFOR","EUR","MR14","0.049002%","0.061949%","0.092512%","0.139188%","0.226875%","0.310692%","0.511842%","0.6374460000000001%","0.690756%","0.7222000000000001%","0.7555959999999999%","40%","","Consumer Goods","Europe","Netherlands","BBB","A"
"06-MAR-19","E","KONIPHI","Koninklijke Philips NV","NTFGGO","SNRFOR","GBP","MM14","0.049002%","0.061949%","0.092512%","0.139188%","0.226875%","0.310692%","0.511842%","0.6374460000000001%","0.690756%","0.7222000000000001%","0.7555959999999999%","40%","","Consumer Goods","Europe","Netherlands","BBB","A"
"06-MAR-19","E","KONIPHI","Koninklijke Philips NV","NTFGGO","SNRFOR","JPY","MM14","0.049002%","0.061949%","0.092512%","0.139188%","0.226875%","0.310692%","0.511842%","0.6374460000000001%","0.690756%","0.7222000000000001%","0.7555959999999999%","40%","","Consumer Goods","Europe","Netherlands","BBB","A"
"06-MAR-19","E","KONIPHI","Koninklijke Philips NV","NTFGGO","SNRFOR","SEK","MM14","0.049002%","0.061949%","0.092512%","0.139188%","0.226875%","0.310692%","0.511842%","0.6374460000000001%","0.690756%","0.7222000000000001%","0.7555959999999999%","40%","","Consumer Goods","Europe","Netherlands","BBB","A"
"06-MAR-19","E","KONIPHI","Koninklijke Philips NV","NTFGGO","SNRFOR","USD","CR14","0.051391%","0.064997%","0.097089%","0.146071%","0.23804799999999998%","0.325973%","0.536956%","0.668786%","0.724907%","0.758105%","0.793609%","40%","","Consumer Goods","Europe","Netherlands","BBB","A"
"06-MAR-19","E","KONIPHI","Koninklijke Philips NV","NTFGGO","SNRFOR","USD","MM14","0.049002%","0.061949%","0.092512%","0.139188%","0.226875%","0.310692%","0.511842%","0.6374460000000001%","0.690756%","0.7222000000000001%","0.7555959999999999%","40%","","Consumer Goods","Europe","Netherlands","BBB","A"
"06-MAR-19","E","KORAIL","Korea Rr Corp","Y2D96F","SNRFOR","USD","CR14","0.109064%","0.124275%","0.18890300000000002%","0.272787%","0.358082%","0.44532499999999997%","0.573614%","0.673582%","0.660699%","","","40%","","Government","Asia","Korea (Republic of)","AA","A"
